Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U13,Start,Pass,0,0,72,49,77,49
U13,End,Press,0,0,77,50,-,-
New England Revolution,Solo,Free Kick,0,0,74,42,-,-
New England Revolution,Start,Dribble,0,0,57,54,72,68
New England Revolution,Middle,Pass,0,0,72,69,71,52
New England Revolution,Middle,Pass,0,0,71,51,73,29
New England Revolution,End,Press,0,0,73,35,-,-
New England Revolution,Start,Pass,0,0,66,28,73,48
New England Revolution,Middle,Dribble,0,0,73,48,78,50
New England Revolution,End,Press,0,0,78,49,-,-
