Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U-16,Start,Dribble,0,0,39,7,58,18
U-16,Middle,Pass,0,0,59,21,82,45
U-16,Middle,Pass,0,0,83,44,87,44
U-16,End,Direct Play,0,0,87,42,-,-
U-16,Start,Pass,0,0,32,7,58,11
U-16,Middle,Pass,0,0,58,12,69,16
U-16,Middle,Dribble,0,0,64,19,93,40
U-16,End,Direct Play,0,0,94,39,-,-
U-16,Start,Dribble,0,0,22,6,5,35
U-16,Middle,Pass,0,0,4,35,5,48
U-16,End,Direct Play,0,0,5,49,-,-
U-16,Start,Dribble,0,0,44,28,37,47
U-16,Middle,Pass,0,0,37,47,20,62
U-16,Middle,Dribble,0,0,21,62,13,46
U-16,End,Direct Play,0,0,11,44,-,-
Oakwood,Start,Pass,0,0,91,83,81,69
Oakwood,Middle,Pass,0,0,81,67,82,53
Oakwood,End,Sustained Possesion,0,0,82,53,-,-
