Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U17,Start,Dribble,33,53,61,74,70,66
U17,Middle,Pass,33,53,69,67,64,52
U17,Middle,Pass,33,53,65,55,83,94
U17,Middle,Dribble,33,53,84,92,96,86
U17,Middle,Pass,33,53,96,85,94,45
U17,End,Sustained Possession,33,53,94,45,-,-
U17,Start,Pass,33,53,55,25,63,47
U17,Middle,Pass,33,53,63,48,53,82
U17,Middle,Pass,33,53,53,82,31,67
U17,Middle,Dribble,33,53,31,67,26,78
U17,Middle,Pass,33,53,27,78,19,90
U17,Middle,Pass,33,53,19,91,21,68
U17,Middle,Pass,33,53,22,69,28,46
U17,End,Sustained Possession,33,53,26,46,-,-
Seacoast,Solo,Penalty,33,53,89,50,-,-
