Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U19,Start,Pass,74,7,50,50,63,56
U19,Middle,Dribble,74,7,63,57,71,62
U19,Middle,Pass,74,7,71,61,85,70
U19,Middle,Dribble,74,7,84,70,90,70
U19,End,Counterattack,74,7,91,70,-,-
IFA,Start,Pass,74,7,63,67,74,21
IFA,Middle,Pass,74,7,74,20,95,56
IFA,End,Sustained Possession,74,7,95,56,-,-
U19,Start,Pass,74,7,23,85,5,43
IFA,End,Free Kick,74,7,5,43,-,-
IFA,Start,Pass,74,7,34,42,25,63
IFA,Middle,Dribble,74,7,24,63,9,67
IFA,End,Sustained Possession,74,7,9,68,-,-
